alert_type,source_ip,destination_ip,user,time,label
malicious_file,22.115.188.219,192.168.231.222,daniel64,2025-05-08 11:19:33,medium
suspicious_login,203.54.139.130,192.168.113.199,hollylewis,2025-05-12 01:01:40,medium
privilege_escalation,138.248.187.169,192.168.246.58,melaniegibson,2025-05-08 05:43:43,high
malicious_file,104.36.150.56,10.89.36.28,melaniegibson,2025-05-14 19:20:46,medium
brute_force,32.223.254.154,10.33.95.29,melaniegibson,2025-05-13 05:47:18,medium
new_process,36.216.218.35,192.168.90.46,racosta,2025-05-13 07:22:46,low
malicious_file,32.232.117.78,192.168.3.192,carloshopkins,2025-05-13 20:59:11,high
port_scan,87.110.39.245,172.21.194.117,racosta,2025-05-13 09:15:23,low
suspicious_login,208.153.251.134,10.43.202.203,kmyers,2025-05-15 11:25:39,low
dns_tunneling,145.176.199.138,172.28.201.221,hollylewis,2025-05-12 02:25:34,high
port_scan,76.247.21.252,172.30.103.165,hollylewis,2025-05-08 20:22:21,low
suspicious_login,137.185.9.35,10.141.64.245,evangalvan,2025-05-15 04:28:40,high
privilege_escalation,48.194.52.83,10.7.148.154,racosta,2025-05-15 02:27:04,high
port_scan,38.113.9.231,10.58.135.199,perryteresa,2025-05-14 07:29:26,low
dns_tunneling,139.242.80.114,10.8.221.17,racosta,2025-05-12 11:31:56,low
port_scan,49.246.61.105,192.168.200.240,phillipsrhonda,2025-05-10 22:41:11,medium
privilege_escalation,199.88.162.248,10.26.0.204,daniel64,2025-05-09 08:18:06,medium
new_process,206.184.217.123,192.168.255.165,angela43,2025-05-12 03:14:19,medium
suspicious_login,67.102.231.195,172.29.98.127,perryteresa,2025-05-12 14:18:14,low
privilege_escalation,33.67.241.95,192.168.8.4,richard62,2025-05-11 14:53:19,medium
brute_force,68.33.115.231,192.168.90.23,caseyalyssa,2025-05-13 20:47:05,low
privilege_escalation,80.140.52.16,172.16.251.163,wjimenez,2025-05-15 15:12:05,low
malicious_file,57.7.100.75,10.86.212.22,caseyalyssa,2025-05-12 16:41:23,medium
port_scan,217.42.138.224,172.29.105.99,daniel64,2025-05-14 14:33:30,low
suspicious_login,13.136.15.107,192.168.10.27,wjimenez,2025-05-14 10:03:31,low
port_scan,213.231.3.230,172.22.137.99,richard62,2025-05-09 00:00:34,low
new_process,150.4.164.230,172.31.122.176,tara72,2025-05-10 13:04:39,low
suspicious_login,28.28.88.67,10.62.242.119,carloshopkins,2025-05-12 05:26:16,high
port_scan,54.131.195.40,10.191.17.76,angela43,2025-05-09 20:58:29,low
suspicious_login,11.77.215.75,10.57.110.167,caseyalyssa,2025-05-09 14:25:15,low
brute_force,97.47.54.182,172.30.15.68,daniel64,2025-05-14 07:53:39,low
dns_tunneling,46.249.34.43,172.23.64.2,vrobbins,2025-05-12 18:27:51,medium
port_scan,167.126.111.80,192.168.46.173,tara72,2025-05-09 07:38:50,low
port_scan,142.54.124.114,10.51.172.38,perryteresa,2025-05-10 08:47:41,low
dns_tunneling,96.233.117.174,192.168.4.50,racosta,2025-05-11 00:16:50,high
new_process,71.4.117.86,172.20.172.144,evangalvan,2025-05-15 17:24:22,low
port_scan,146.212.250.107,192.168.161.53,racosta,2025-05-14 17:57:45,medium
dns_tunneling,143.26.23.12,10.239.68.48,carloshopkins,2025-05-14 01:14:22,high
suspicious_login,62.59.0.202,10.196.231.101,rosekathleen,2025-05-11 16:04:25,medium
dns_tunneling,107.126.205.107,192.168.191.185,rosekathleen,2025-05-15 18:36:30,medium
privilege_escalation,166.196.106.108,172.31.7.117,rosekathleen,2025-05-12 20:37:24,high
suspicious_login,191.45.149.144,192.168.185.113,racosta,2025-05-09 07:01:42,low
dns_tunneling,54.199.82.174,192.168.53.197,hollylewis,2025-05-12 16:55:26,low
suspicious_login,204.144.238.13,192.168.202.44,angela43,2025-05-12 09:32:53,low
port_scan,198.48.89.144,10.65.77.46,angela43,2025-05-12 04:37:23,medium
suspicious_login,148.97.250.87,192.168.137.176,richard62,2025-05-14 20:24:24,low
suspicious_login,102.59.192.38,10.191.150.119,racosta,2025-05-14 15:35:31,low
port_scan,198.65.74.146,192.168.12.155,katherineward,2025-05-12 19:20:08,low
privilege_escalation,25.39.152.67,192.168.219.100,phillipsrhonda,2025-05-15 10:53:54,medium
new_process,52.121.172.245,10.245.80.133,kmyers,2025-05-10 15:26:52,medium
brute_force,166.19.120.77,10.129.234.170,wjimenez,2025-05-10 13:25:51,medium
malicious_file,126.27.234.93,172.27.118.85,phillipsrhonda,2025-05-12 12:00:07,medium
privilege_escalation,115.64.115.9,192.168.0.143,tara72,2025-05-12 11:16:54,low
dns_tunneling,93.45.50.10,10.11.17.9,tara72,2025-05-11 17:56:53,medium
suspicious_login,117.181.64.67,10.215.69.153,rosekathleen,2025-05-12 08:44:54,medium
malicious_file,147.227.99.6,192.168.181.230,racosta,2025-05-12 15:45:41,low
malicious_file,111.243.10.229,10.71.60.72,carloshopkins,2025-05-12 17:46:13,medium
port_scan,13.213.147.194,192.168.118.237,daniel64,2025-05-10 21:34:34,low
port_scan,77.107.179.186,172.25.38.124,evangalvan,2025-05-15 23:25:23,low
new_process,105.23.240.22,172.17.96.165,caseyalyssa,2025-05-12 19:34:27,low
suspicious_login,70.164.233.67,10.12.195.132,tara72,2025-05-08 06:14:29,high
privilege_escalation,156.240.186.161,192.168.108.165,caseyalyssa,2025-05-14 16:07:57,medium
port_scan,19.36.208.40,172.23.123.155,daniel64,2025-05-11 12:54:25,low
malicious_file,27.44.209.153,192.168.62.205,carloshopkins,2025-05-10 09:53:40,low
privilege_escalation,170.67.126.197,172.27.228.192,caseyalyssa,2025-05-14 08:58:49,low
port_scan,99.250.205.103,10.37.25.194,carloshopkins,2025-05-13 16:20:34,low
dns_tunneling,204.92.183.115,192.168.216.61,racosta,2025-05-08 07:12:42,low
dns_tunneling,132.177.217.63,172.27.16.15,angela43,2025-05-12 09:31:03,low
dns_tunneling,137.238.8.17,192.168.243.35,evangalvan,2025-05-13 09:47:26,low
dns_tunneling,137.104.174.12,172.16.66.208,caseyalyssa,2025-05-10 18:47:39,low
dns_tunneling,178.77.147.157,172.30.214.1,kmyers,2025-05-15 08:29:21,medium
malicious_file,167.66.128.116,10.103.234.82,carloshopkins,2025-05-12 05:37:26,high
port_scan,27.15.91.213,10.90.255.54,racosta,2025-05-09 21:23:05,low
suspicious_login,61.33.118.79,192.168.23.180,carloshopkins,2025-05-14 08:38:26,low
malicious_file,152.137.229.111,10.224.142.29,caseyalyssa,2025-05-15 17:08:37,low
privilege_escalation,13.126.255.93,10.253.203.147,richard62,2025-05-13 17:55:23,medium
privilege_escalation,96.113.204.89,192.168.207.52,tara72,2025-05-13 02:03:25,high
dns_tunneling,142.24.178.88,10.195.20.23,caseyalyssa,2025-05-11 07:44:14,medium
new_process,1.58.62.212,192.168.221.204,angela43,2025-05-13 10:43:51,low
dns_tunneling,99.79.25.91,172.25.1.56,evangalvan,2025-05-14 03:33:38,low
malicious_file,89.172.11.8,10.192.85.53,racosta,2025-05-15 03:49:47,medium
privilege_escalation,187.211.32.79,172.30.252.38,katherineward,2025-05-09 14:02:18,medium
privilege_escalation,155.174.81.61,10.164.111.112,carloshopkins,2025-05-15 03:35:57,high
dns_tunneling,44.158.193.44,10.9.151.189,kmyers,2025-05-11 03:13:29,high
privilege_escalation,112.143.238.156,10.29.68.208,katherineward,2025-05-10 15:05:40,high
brute_force,36.80.114.34,172.16.138.214,richard62,2025-05-10 06:30:20,medium
suspicious_login,155.189.163.45,172.23.208.242,richard62,2025-05-11 08:47:34,low
privilege_escalation,65.184.6.150,10.227.97.27,caseyalyssa,2025-05-10 10:40:45,high
dns_tunneling,76.10.232.31,192.168.220.14,carloshopkins,2025-05-13 11:32:08,low
brute_force,78.229.188.37,172.19.34.60,hollylewis,2025-05-13 18:38:30,low
brute_force,172.86.100.61,172.27.203.57,hollylewis,2025-05-13 17:27:38,low
privilege_escalation,221.101.82.254,172.27.8.31,richard62,2025-05-11 10:08:37,high
privilege_escalation,69.62.182.32,10.219.104.164,carloshopkins,2025-05-15 16:01:30,high
dns_tunneling,179.161.197.158,192.168.60.53,kmyers,2025-05-09 07:44:41,medium
new_process,31.248.93.43,172.18.4.88,caseyalyssa,2025-05-15 19:06:31,low
port_scan,192.214.227.14,172.30.137.193,katherineward,2025-05-09 09:34:50,low
privilege_escalation,23.172.37.187,172.30.184.48,racosta,2025-05-11 19:36:29,medium
port_scan,49.234.98.133,172.30.126.40,carloshopkins,2025-05-14 16:39:36,low
brute_force,48.60.206.19,10.65.25.18,richard62,2025-05-13 15:54:18,low
brute_force,99.62.147.220,192.168.177.83,melaniegibson,2025-05-14 13:15:42,low
port_scan,68.71.58.221,172.29.183.171,kmyers,2025-05-15 17:33:18,low
new_process,213.123.113.156,172.16.100.25,wjimenez,2025-05-13 08:03:48,low
privilege_escalation,89.203.110.145,172.18.181.220,evangalvan,2025-05-11 12:33:51,medium
dns_tunneling,165.2.3.6,172.31.6.185,caseyalyssa,2025-05-11 14:32:19,low
suspicious_login,162.35.46.156,192.168.60.63,racosta,2025-05-14 03:44:13,low
malicious_file,205.206.121.158,10.93.152.235,daniel64,2025-05-12 10:19:22,medium
dns_tunneling,153.181.17.207,192.168.62.176,evangalvan,2025-05-08 10:41:45,low
port_scan,137.64.25.58,192.168.7.183,rosekathleen,2025-05-13 00:56:49,low
suspicious_login,205.146.81.195,192.168.14.88,melaniegibson,2025-05-14 04:42:13,medium
brute_force,209.232.113.91,172.24.29.172,tara72,2025-05-08 02:41:59,medium
malicious_file,148.1.87.161,10.205.16.32,sharon75,2025-05-13 23:25:01,high
malicious_file,53.187.22.114,10.208.137.246,richard62,2025-05-12 07:25:17,medium
malicious_file,104.87.34.193,10.145.49.56,hollylewis,2025-05-14 22:35:12,high
malicious_file,5.13.19.230,192.168.2.56,caseyalyssa,2025-05-14 11:57:28,low
port_scan,15.178.240.172,10.36.193.26,phillipsrhonda,2025-05-15 14:11:58,low
port_scan,95.196.220.8,10.100.202.196,sharon75,2025-05-11 23:19:10,medium
port_scan,46.139.66.36,192.168.180.19,sharon75,2025-05-14 21:16:55,low
new_process,138.8.96.2,10.190.233.189,racosta,2025-05-14 19:30:52,low
malicious_file,34.84.251.186,10.195.165.43,hollylewis,2025-05-13 16:38:24,low
suspicious_login,24.208.70.201,192.168.227.166,kmyers,2025-05-10 05:59:46,low
malicious_file,7.130.193.190,172.31.34.152,wjimenez,2025-05-09 16:34:31,low
brute_force,166.161.105.193,172.20.104.135,tara72,2025-05-14 14:17:41,low
port_scan,144.26.189.184,172.19.90.195,vrobbins,2025-05-10 05:35:45,low
suspicious_login,169.224.19.89,10.31.254.88,wjimenez,2025-05-11 12:47:04,medium
new_process,65.168.26.71,172.18.153.207,rosekathleen,2025-05-14 14:25:13,low
brute_force,154.251.66.241,172.16.185.239,evangalvan,2025-05-13 15:11:25,low
privilege_escalation,137.45.86.103,192.168.255.104,angela43,2025-05-11 07:02:01,medium
suspicious_login,114.104.5.61,192.168.7.61,evangalvan,2025-05-08 00:06:04,low
port_scan,45.135.195.161,10.95.197.65,hollylewis,2025-05-10 02:58:29,high
port_scan,123.242.28.127,192.168.254.69,rosekathleen,2025-05-14 09:06:26,low
dns_tunneling,94.90.85.73,192.168.220.183,wjimenez,2025-05-11 15:31:25,low
port_scan,131.213.129.221,172.19.2.14,hollylewis,2025-05-10 10:54:23,low
dns_tunneling,8.111.111.63,10.147.55.159,racosta,2025-05-10 10:07:56,medium
dns_tunneling,83.27.159.75,192.168.132.159,richard62,2025-05-11 10:25:39,medium
port_scan,87.27.233.148,172.24.183.84,hollylewis,2025-05-11 16:38:27,low
privilege_escalation,128.154.56.97,10.199.192.129,daniel64,2025-05-12 09:02:15,medium
privilege_escalation,130.52.140.181,172.16.60.164,sharon75,2025-05-14 03:25:18,high
port_scan,44.156.211.229,10.149.240.253,richard62,2025-05-10 08:21:55,low
malicious_file,215.131.47.220,192.168.31.237,perryteresa,2025-05-09 14:52:04,medium
privilege_escalation,31.183.211.186,172.24.85.162,sharon75,2025-05-13 09:13:35,medium
brute_force,136.123.2.211,10.53.220.88,tara72,2025-05-09 10:38:41,low
brute_force,59.98.38.110,192.168.50.186,hollylewis,2025-05-10 11:05:52,low
dns_tunneling,84.186.116.54,172.24.105.219,daniel64,2025-05-09 07:40:56,low
malicious_file,12.33.121.92,10.104.94.196,wjimenez,2025-05-15 18:24:21,low
privilege_escalation,106.31.153.53,172.21.45.156,katherineward,2025-05-12 14:02:26,low
malicious_file,96.87.208.142,172.16.87.48,melaniegibson,2025-05-08 09:56:07,low
privilege_escalation,106.124.223.195,192.168.167.85,richard62,2025-05-14 12:38:14,medium
port_scan,147.172.210.30,10.10.110.128,daniel64,2025-05-11 12:49:32,low
dns_tunneling,72.141.247.209,10.101.217.81,angela43,2025-05-08 02:43:53,high
dns_tunneling,116.249.135.221,10.200.222.188,kmyers,2025-05-14 09:38:01,high
brute_force,162.107.202.11,172.30.150.94,melaniegibson,2025-05-15 16:56:54,low
privilege_escalation,64.7.112.4,172.30.101.129,phillipsrhonda,2025-05-09 19:31:12,medium
privilege_escalation,64.4.55.70,192.168.29.168,kmyers,2025-05-14 09:45:29,high
suspicious_login,44.200.30.84,192.168.85.35,wjimenez,2025-05-08 11:22:03,low
dns_tunneling,132.54.113.211,192.168.120.218,hollylewis,2025-05-14 04:42:59,high
new_process,117.117.152.121,192.168.61.37,evangalvan,2025-05-08 20:50:30,medium
dns_tunneling,111.45.88.54,172.29.215.85,evangalvan,2025-05-10 17:17:11,low
brute_force,188.113.71.181,172.17.230.110,caseyalyssa,2025-05-10 07:57:38,low
